sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave
1,21,Deputado Delegado Fernando Fernandes,,1,apresentou uma proposição,2022-06-21,2022,32,8,2895,api_i5,,autor_id
2,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-07,2022,32,8,3706,api_i5,,autor_id
3,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-07,2022,32,8,4066,api_i5,,autor_id
4,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-06,2022,32,8,4327,api_i5,,autor_id
5,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-03-22,2022,32,8,4363,api_i5,,autor_id
6,16,Deputado Claudio Abrantes,,1,apresentou uma proposição,2022-03-09,2022,32,8,4372,api_i5,,autor_id
7,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-20,2022,32,8,4418,api_i5,,autor_id
8,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-07,2022,32,8,4449,api_i5,,autor_id
9,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-06-01,2022,32,8,4488,api_i5,,autor_id
10,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-06-01,2022,32,8,4491,api_i5,,autor_id
11,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4509,api_i5,,autor_id
12,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4513,api_i5,,autor_id
13,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4515,api_i5,,autor_id
14,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4518,api_i5,,autor_id
15,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,4519,api_i5,,autor_id
16,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-06-01,2022,32,8,4820,api_i5,,autor_id
17,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-08,2022,32,8,4852,api_i5,,autor_id
18,13,Deputado Agaciel Maia,,1,apresentou uma proposição,2022-02-08,2022,32,8,4907,api_i5,,autor_id
19,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-08,2022,32,8,4907,api_i5,,autor_id
20,17,Deputado Daniel Donizet,MDB,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id
21,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id
22,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id
23,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-02-08,2022,32,8,5101,api_i5,,autor_id
24,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5154,api_i5,,autor_id
25,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-10,2022,32,8,5158,api_i5,,autor_id
26,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5169,api_i5,,autor_id
27,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5181,api_i5,,autor_id
28,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5219,api_i5,,autor_id
29,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5221,api_i5,,autor_id
30,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5223,api_i5,,autor_id
31,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5227,api_i5,,autor_id
32,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5228,api_i5,,autor_id
33,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5229,api_i5,,autor_id
34,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5233,api_i5,,autor_id
35,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5237,api_i5,,autor_id
36,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id
37,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id
38,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id
39,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id
40,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-29,2022,32,8,5250,api_i5,,autor_id
41,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5256,api_i5,,autor_id
42,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5257,api_i5,,autor_id
43,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5258,api_i5,,autor_id
44,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5261,api_i5,,autor_id
